MR32 CSV
Name;Staw lokciowy zginanie, nadgarstkowy wyprost 2
Frequency;1500
Date;17-03-2023 12:32:00
"Time,s";"FLEX.CAPR.U RT,%";"BICEPS BR. RT,%";"BRACHIORAD. RT,%";"LAT. TRICEPS RT,%"
0,2133;1,258;3,529;1,124;1,079
0,2140;1,258;3,529;1,127;1,08
0,2147;1,258;3,529;1,134;1,079
0,2153;1,257;3,529;1,137;1,079
0,2160;1,257;3,532;1,137;1,08
0,2167;1,257;3,532;1,131;1,08
0,2173;1,257;3,535;1,118;1,08
0,2180;1,257;3,537;1,121;1,08
0,2187;1,257;3,537;1,127;1,08
0,2193;1,254;3,537;1,134;1,08
0,2200;1,253;3,537;1,134;1,079
0,2207;1,252;3,535;1,134;1,079
0,2213;1,252;3,535;1,134;1,079
0,2220;1,253;3,535;1,137;1,078
0,2227;1,251;3,532;1,143;1,079
0,2233;1,25;3,535;1,143;1,081
0,2240;1,248;3,54;1,14;1,084
0,2247;1,244;3,546;1,146;1,086
0,2253;1,24;3,549;1,159;1,086
0,2260;1,235;3,549;1,162;1,089
0,2267;1,225;3,546;1,159;1,094
0,2273;1,214;3,535;1,159;1,1
0,2280;1,21;3,521;1,159;1,101
0,2287;1,21;3,507;1,159;1,099
0,2293;1,202;3,492;1,156;1,098
0,2300;1,186;3,478;1,156;1,095
0,2307;1,166;3,47;1,156;1,087
0,2313;1,143;3,464;1,156;1,076
0,2320;1,129;3,453;1,159;1,065
0,2327;1,124;3,436;1,159;1,057
0,2333;1,125;3,425;1,159;1,049
0,2340;1,125;3,417;1,159;1,052
0,2347;1,125;3,414;1,156;1,059
0,2353;1,125;3,414;1,149;1,061
0,2360;1,125;3,414;1,146;1,069
0,2367;1,126;3,414;1,146;1,083
0,2373;1,126;3,414;1,146;1,099
0,2380;1,126;3,414;1,137;1,115
0,2387;1,125;3,417;1,134;1,126
0,2393;1,124;3,417;1,134;1,132
0,2400;1,122;3,419;1,131;1,138
0,2407;1,121;3,425;1,131;1,142
0,2413;1,119;3,422;1,127;1,142
0,2420;1,119;3,419;1,127;1,142
0,2427;1,118;3,408;1,127;1,142
0,2433;1,118;3,4;1,127;1,141
0,2440;1,118;3,389;1,127;1,141
0,2447;1,118;3,38;1,131;1,141
0,2453;1,117;3,372;1,134;1,14
0,2460;1,115;3,36;1,134;1,136
0,2467;1,113;3,355;1,137;1,134
0,2473;1,112;3,349;1,137;1,131
0,2480;1,111;3,346;1,137;1,131
0,2487;1,11;3,341;1,131;1,132
0,2493;1,11;3,338;1,124;1,133
0,2500;1,111;3,338;1,121;1,132
0,2507;1,112;3,338;1,121;1,128
0,2513;1,111;3,338;1,118;1,128
0,2520;1,113;3,341;1,118;1,128
0,2527;1,111;3,344;1,115;1,128
0,2533;1,11;3,352;1,115;1,128
0,2540;1,109;3,366;1,112;1,128
0,2547;1,105;3,386;1,109;1,128
0,2553;1,105;3,4;1,109;1,129
0,2560;1,104;3,411;1,109;1,128
0,2567;1,104;3,422;1,109;1,126
0,2573;1,102;3,428;1,109;1,125
0,2580;1,093;3,428;1,109;1,123
0,2587;1,086;3,428;1,109;1,119
0,2593;1,086;3,428;1,112;1,117
0,2600;1,085;3,428;1,112;1,117
0,2607;1,084;3,425;1,109;1,116
0,2613;1,082;3,419;1,109;1,114
0,2620;1,079;3,405;1,106;1,112
0,2627;1,079;3,386;1,102;1,111
0,2633;1,079;3,366;1,102;1,111
0,2640;1,08;3,355;1,099;1,105
0,2647;1,082;3,352;1,093;1,089
0,2653;1,085;3,352;1,09;1,078
0,2660;1,085;3,352;1,09;1,07
0,2667;1,085;3,355;1,09;1,062
0,2673;1,086;3,358;1,09;1,058
0,2680;1,086;3,36;1,09;1,057
0,2687;1,086;3,36;1,09;1,057
0,2693;1,09;3,36;1,09;1,056
0,2700;1,091;3,352;1,087;1,055
0,2707;1,091;3,344;1,087;1,056
0,2713;1,091;3,335;1,081;1,058
0,2720;1,091;3,324;1,074;1,059
0,2727;1,092;3,318;1,074;1,059
0,2733;1,092;3,318;1,074;1,052
0,2740;1,092;3,315;1,074;1,04
0,2747;1,09;3,315;1,071;1,026
0,2753;1,087;3,315;1,071;1,021
